"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"1","uv","-1+ thru  13","AZ","F",21130.9,270,13,NA
"2","vacc","-1+ thru  13","AZ","F",20951.6,163,8,"0.61 (0.5, 0.74)"
"3","uv","13+ thru  20","AZ","F",7752.6,49,6,NA
"4","vacc","13+ thru  20","AZ","F",7667,50,7,"1.03 (0.7, 1.53)"
"5","uv","20+ thru  27","AZ","F",7274,45,6,NA
"6","vacc","20+ thru  27","AZ","F",7187.3,33,5,"0.74 (0.47, 1.16)"
"7","uv","27+ thru  34","AZ","F",7112.4,55,8,NA
"8","vacc","27+ thru  34","AZ","F",7026.7,19,3,"0.35 (0.21, 0.59)"
"9","uv","34+ thru  41","AZ","F",6997.8,34,5,NA
"10","vacc","34+ thru  41","AZ","F",6915,17,2,"0.51 (0.28, 0.91)"
"11","uv","41+ thru  48","AZ","F",6911.2,24,3,NA
"12","vacc","41+ thru  48","AZ","F",6830.2,9,1,"0.38 (0.18, 0.82)"
"13","uv","48+ thru  55","AZ","F",6748.8,24,4,NA
"14","vacc","48+ thru  55","AZ","F",6669.9,6,1,"0.25 (0.1, 0.62)"
"15","uv","55+ thru  62","AZ","F",6280.7,15,2,NA
"16","vacc","55+ thru  62","AZ","F",6195,9,1,"0.61 (0.27, 1.39)"
"17","uv","62+ thru  69","AZ","F",5452.4,15,3,NA
"18","vacc","62+ thru  69","AZ","F",5365,9,2,"0.61 (0.27, 1.39)"
"19","uv","69+ thru 203","AZ","F",6931,11,2,NA
"20","vacc","69+ thru 203","AZ","F",6577,27,4,"2.59 (1.28, 5.21)"
"21","uv","-1+ thru  13","PB","F",18529.2,173,9,NA
"22","vacc","-1+ thru  13","PB","F",18768.6,77,4,"0.44 (0.34, 0.57)"
"23","uv","13+ thru  20","PB","F",7860.3,59,8,NA
"24","vacc","13+ thru  20","PB","F",7931.3,40,5,"0.67 (0.45, 1)"
"25","uv","20+ thru  27","PB","F",7351.9,40,5,NA
"26","vacc","20+ thru  27","PB","F",7406.6,31,4,"0.77 (0.48, 1.23)"
"27","uv","27+ thru  34","PB","F",6726.6,45,7,NA
"28","vacc","27+ thru  34","PB","F",6774.9,20,3,"0.44 (0.26, 0.75)"
"29","uv","34+ thru  41","PB","F",6439.8,37,6,NA
"30","vacc","34+ thru  41","PB","F",6482.7,10,2,"0.27 (0.13, 0.54)"
"31","uv","41+ thru  48","PB","F",6232.4,32,5,NA
"32","vacc","41+ thru  48","PB","F",6269.9,12,2,"0.37 (0.19, 0.72)"
"33","uv","48+ thru  55","PB","F",5946.8,25,4,NA
"34","vacc","48+ thru  55","PB","F",5975.5,13,2,"0.52 (0.26, 1.01)"
"35","uv","55+ thru  62","PB","F",5087.4,18,4,NA
"36","vacc","55+ thru  62","PB","F",5101.4,7,1,"0.39 (0.16, 0.93)"
"37","uv","62+ thru  69","PB","F",3983.4,14,4,NA
"38","vacc","62+ thru  69","PB","F",3989.8,4,1,"0.28 (0.09, 0.87)"
"39","uv","69+ thru 203","PB","F",4605.5,13,3,NA
"40","vacc","69+ thru 203","PB","F",4482.3,8,2,"0.63 (0.26, 1.53)"
"41","uv","-1+ thru  13","AZ","M",20016.7,305,15,NA
"42","vacc","-1+ thru  13","AZ","M",20199,145,7,"0.47 (0.39, 0.57)"
"43","uv","13+ thru  20","AZ","M",7249.5,76,10,NA
"44","vacc","13+ thru  20","AZ","M",7337.2,48,7,"0.62 (0.44, 0.9)"
"45","uv","20+ thru  27","AZ","M",6785.2,53,8,NA
"46","vacc","20+ thru  27","AZ","M",6873.8,16,2,"0.3 (0.17, 0.52)"
"47","uv","27+ thru  34","AZ","M",6610.1,39,6,NA
"48","vacc","27+ thru  34","AZ","M",6697.3,17,3,"0.43 (0.24, 0.76)"
"49","uv","34+ thru  41","AZ","M",6465.2,19,3,NA
"50","vacc","34+ thru  41","AZ","M",6550.1,11,2,"0.57 (0.27, 1.2)"
"51","uv","41+ thru  48","AZ","M",6361.6,30,5,NA
"52","vacc","41+ thru  48","AZ","M",6445.1,7,1,"0.23 (0.1, 0.52)"
"53","uv","48+ thru  55","AZ","M",6179.1,11,2,NA
"54","vacc","48+ thru  55","AZ","M",6260.2,11,2,"0.99 (0.43, 2.28)"
"55","uv","55+ thru  62","AZ","M",5702.3,10,2,NA
"56","vacc","55+ thru  62","AZ","M",5788.8,8,1,"0.79 (0.31, 2)"
"57","uv","62+ thru  69","AZ","M",4933,12,2,NA
"58","vacc","62+ thru  69","AZ","M",5017.2,7,1,"0.57 (0.23, 1.46)"
"59","uv","69+ thru 203","AZ","M",5946.8,18,3,NA
"60","vacc","69+ thru 203","AZ","M",5998.2,23,4,"1.27 (0.68, 2.35)"
"61","uv","-1+ thru  13","PB","M",13641.2,112,8,NA
"62","vacc","-1+ thru  13","PB","M",13403.6,65,5,"0.59 (0.44, 0.8)"
"63","uv","13+ thru  20","PB","M",5213.9,44,8,NA
"64","vacc","13+ thru  20","PB","M",5144.4,32,6,"0.74 (0.47, 1.16)"
"65","uv","20+ thru  27","PB","M",4715.9,40,8,NA
"66","vacc","20+ thru  27","PB","M",4663,16,3,"0.4 (0.23, 0.72)"
