"","id","vacc_type","age_lower","age_upper","sex","omit_prev_tests","notes","title","Vacc.Status","Person.Years","Events","Rate","OR_AGE","OR_LCL_AGE","OR_UCL_AGE","OR_ADJ","OR_LCL_ADJ","OR_UCL_ADJ","OR_ADJ2","OR_LCL_ADJ2","OR_UCL_ADJ2"
"1",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","uv",1129425,9951,3.2180993804634,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_0:13",82335,622,2.75928822423727,0.442456388657214,0.406007760739064,0.482177127617522,0.446839514863547,0.408420650321627,0.488872322901046,0.581537672611736,0.533649994694596,0.633722604757478
"3",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_14:20",39033,347,3.24706036900124,0.450407367469129,0.400332829017947,0.506745342789202,0.506452673574984,0.447927833323973,0.572624185168092,0.722280927304369,0.641759652779184,0.812905167360469
"4",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_21:27",34380,224,2.37973714691789,0.296804326660737,0.255793356676298,0.344390524715672,0.365950182915682,0.313717884640701,0.426878870898285,0.478645925936887,0.412408719656503,0.55552152875623
"5",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_28:34",31710,156,1.79689618624909,0.196544283703216,0.163339181979612,0.236499626043382,0.279015751356155,0.230566662953298,0.337645470978641,0.316263978850775,0.262786364116893,0.38062440817527
"6",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_35:41",28843,115,1.45631152278227,0.153703413928346,0.124253821656237,0.190132900045433,0.267913573853525,0.215174530146542,0.333578899910157,0.247500582101711,0.200051525583594,0.306203804054916
"7",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_42:47",25860,82,1.15815918886129,0.0899330372425825,0.0677017549368632,0.119464424448352,0.209436330716548,0.156649898368988,0.280010246292601,0.144929552740719,0.109091657370219,0.192540619181745
"8",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_49:55",22298,36,0.589696858723634,0.0594681948729721,0.041290441740082,0.0856485436438628,0.186274380358524,0.128497917415372,0.270028849306481,0.0953857162193588,0.0662254996157379,0.137385673365579
"9",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_56:62",15869,33,0.759553675434622,0.0468368819065473,0.0294867995022372,0.0743957819688577,0.183050477449249,0.114569029674685,0.292465401771676,0.0731368844746496,0.0460447685381153,0.116169633174079
"10",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_63:69",10630,12,0.41231623619443,0.0220923282044987,0.00991976757943444,0.0492018549413549,0.104397749518563,0.0467192571792336,0.233284747288002,0.034809745099532,0.0156305197988949,0.0775225884669596
"11",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_70:76",7473,8,0.390983808162867,0.0178214428071999,0.00574550232890783,0.0552786867968552,0.0903151754923557,0.0290577276601566,0.280711245545862,0.0277180786761785,0.00893678776945315,0.0859695793744729
"12",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_77:83",4753,5,0.384196567307266,0.0249918355729095,0.00624866760867532,0.0999560041305758,0.0946358214743617,0.0236240789756973,0.379102131995938,0.038828487589012,0.00970868527496802,0.155288940340589
"13",1,"Any",18,110,"B","no","","All Ages,  Either Vaccine","v1_84+",8058,3,0.135983885875007,0.0300727393590039,0.00751975019187986,0.120265917015589,0.0900825302103952,0.0224423147245824,0.361587579030699,0.01456308099781,0.00364121981076651,0.0582451318982938
"14",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","uv",728202,579,0.290413697608536,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_0:13",26712,34,0.46490855633808,0.936505284307588,0.658986521692673,1.33089542602975,0.496506682370573,0.344823441624291,0.714913361102731,1.14184170321657,0.803126877517487,1.623407847132
"16",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_14:20",14337,18,0.458582981254932,0.922978838397971,0.574990201704565,1.48157296177401,0.276305349449885,0.16968663626396,0.449915490197258,1.20326828345052,0.748692421430678,1.93384428707219
"17",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_21:27",14290,18,0.460088262722395,0.925661090572808,0.576651187702461,1.48590425698135,0.249220053004282,0.15278224948337,0.406530438120156,1.20440463529527,0.749404764668091,1.9356569292206
"18",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_28:34",14176,7,0.180363575938591,0.362699626401101,0.171683953748109,0.766239454063992,0.0957287292000173,0.0448371552384357,0.204383831791242,0.469082125323578,0.221880342333075,0.991696866808395
"19",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_35:41",13828,11,0.290554093636126,0.584189041730681,0.320627306545507,1.06440352868003,0.171166080839879,0.0929487252704702,0.315204185370275,0.744330181511087,0.408243144658801,1.35710158604468
"20",12,"PB",18,110,"B","all","","All Ages,  PB Vaccine, Omit individuals previously positive","v1_42:47",12938,6,0.169379872523028,0.343414691357547,0.153239216750723,0.769604887970971,0.140101843520091,0.0621986601722583,0.315577964273943,0.443538899851398,0.197792705979187,0.994610770440086
