"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"73","v1","48+ thru  55","PB","M",2228,3,1,NA
"74","v2","48+ thru  55","PB","M",2206.8,2,1,"0.67 (0.11, 4.03)"
"75","v1","55+ thru  62","PB","M",1895.6,2,1,NA
"76","v2","55+ thru  62","PB","M",1858.1,2,1,"1.02 (0.14, 7.24)"
"77","v1","62+ thru  69","PB","M",1662.9,2,1,NA
"78","v2","62+ thru  69","PB","M",1618.1,2,1,"1.03 (0.14, 7.29)"
"79","v1","69+ thru 183","PB","M",6873.8,12,2,NA
"80","v2","69+ thru 183","PB","M",6737.7,3,0,"0.26 (0.07, 0.9)"
"81","v1","-1+ thru  13","AZ","18-64",28663,59,2,NA
"82","v2","-1+ thru  13","AZ","18-64",28665.2,61,2,"1.03 (0.72, 1.48)"
"83","v1","13+ thru  20","AZ","18-64",10488.1,19,2,NA
"84","v2","13+ thru  20","AZ","18-64",10490.2,13,1,"0.68 (0.34, 1.38)"
"85","v1","20+ thru  27","AZ","18-64",8274.5,28,3,NA
"86","v2","20+ thru  27","AZ","18-64",8276.5,13,2,"0.46 (0.24, 0.9)"
"87","v1","27+ thru  34","AZ","18-64",5969.7,20,3,NA
"88","v2","27+ thru  34","AZ","18-64",5971.4,9,2,"0.45 (0.2, 0.99)"
"89","v1","34+ thru  41","AZ","18-64",4496.5,21,5,NA
"90","v2","34+ thru  41","AZ","18-64",4497.2,8,2,"0.38 (0.17, 0.86)"
"91","v1","41+ thru  48","AZ","18-64",3249.7,12,4,NA
"92","v2","41+ thru  48","AZ","18-64",3249.5,4,1,"0.33 (0.11, 1.03)"
"93","v1","48+ thru  55","AZ","18-64",2496.3,10,4,NA
"94","v2","48+ thru  55","AZ","18-64",2494.8,3,1,"0.3 (0.08, 1.09)"
"95","v1","55+ thru  62","AZ","18-64",1788,5,3,NA
"96","v2","55+ thru  62","AZ","18-64",1786,2,1,"0.4 (0.08, 2.06)"
"97","v1","62+ thru  69","AZ","18-64",1030.2,2,2,NA
"98","v2","62+ thru  69","AZ","18-64",1028.2,9,9,"4.51 (0.97, 20.87)"
"99","v1","69+ thru 183","AZ","18-64",1254.8,4,3,NA
"100","v2","69+ thru 183","AZ","18-64",1252.4,5,4,"1.25 (0.34, 4.66)"
"101","v1","-1+ thru  13","PB","18-64",13474.5,24,2,NA
"102","v2","-1+ thru  13","PB","18-64",13475.6,9,1,"0.38 (0.17, 0.81)"
"103","v1","13+ thru  20","PB","18-64",5946.3,13,2,NA
"104","v2","13+ thru  20","PB","18-64",5947.6,1,0,"0.08 (0.01, 0.59)"
"105","v1","20+ thru  27","PB","18-64",5680.9,3,1,NA
"106","v2","20+ thru  27","PB","18-64",5682.6,2,0,"0.67 (0.11, 3.99)"
"107","v1","27+ thru  34","PB","18-64",5580,7,1,NA
"108","v2","27+ thru  34","PB","18-64",5581.8,0,0,"0 (0, Inf)"
"109","v1","34+ thru  41","PB","18-64",5528,3,1,NA
"110","v2","34+ thru  41","PB","18-64",5530.2,0,0,"0 (0, Inf)"
"111","v1","41+ thru  48","PB","18-64",5411.1,3,1,NA
"112","v2","41+ thru  48","PB","18-64",5413.3,0,0,"0 (0, Inf)"
"113","v1","48+ thru  55","PB","18-64",5157,6,1,NA
"114","v2","48+ thru  55","PB","18-64",5159.1,1,0,"0.17 (0.02, 1.38)"
"115","v1","55+ thru  62","PB","18-64",4774.9,1,0,NA
"116","v2","55+ thru  62","PB","18-64",4776.6,5,1,"5 (0.58, 42.78)"
"117","v1","62+ thru  69","PB","18-64",4523.1,4,1,NA
"118","v2","62+ thru  69","PB","18-64",4524.7,1,0,"0.25 (0.03, 2.24)"
"119","v1","69+ thru 183","PB","18-64",22619.7,25,1,NA
"120","v2","69+ thru 183","PB","18-64",22628.7,13,1,"0.52 (0.27, 1.02)"
"121","v1","-1+ thru  13","AZ","65+",12146.5,47,4,NA
"122","v2","-1+ thru  13","AZ","65+",12164.9,54,4,"1.15 (0.78, 1.7)"
"123","v1","13+ thru  20","AZ","65+",4043.7,22,5,NA
"124","v2","13+ thru  20","AZ","65+",4068.7,4,1,"0.18 (0.06, 0.52)"
