"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"All",1,3222838,96,3222827,47
"All",2,2787478,89,2787487,34
"All",3,2494951,100,2494996,28
"All",4,2279012,95,2279093,40
"All",5,2117464,73,2117585,27
"All",6,1994726,58,1994879,30
"All",7,1892406,68,1892572,40
"All",8,1801962,53,1802136,31
"All",9,1732701,60,1732891,35
"All",10,1677540,50,1677746,39
"All",11,1631134,34,1631336,36
"All",12,1590766,44,1590950,32
"All",13,1556472,40,1556659,31
"All",14,1525879,33,1526068,31
"All",15,1498667,48,1498845,30
"All",16,1477040,23,1477236,27
"All",17,1459231,34,1459411,21
"All",18,1444018,33,1444212,18
"All",19,1430663,25,1430862,17
"All",20,1419369,32,1419568,26
"All",21,1409398,30,1409595,22
"All",22,1399287,24,1399478,12
"All",23,1379360,36,1379542,16
"All",24,1362218,25,1362409,12
"All",25,1345975,27,1346166,11
"All",26,1330046,18,1330249,11
"All",27,1316621,18,1316815,12
"All",28,1304929,26,1305110,18
"All",29,1293484,27,1293660,8
"All",30,1284965,23,1285145,12
"All",31,1278437,23,1278621,9
"All",32,1270697,17,1270890,10
"All",33,1264005,19,1264208,8
"All",34,1257442,30,1257640,6
"All",35,1251324,16,1251560,7
"All",36,1244389,16,1244629,13
"All",37,1239666,12,1239913,7
"All",38,1235463,14,1235704,5
"All",39,1232168,14,1232408,9
"All",40,1228500,14,1228735,7
"All",41,1224653,16,1224899,3
"All",42,1220414,12,1220688,4
"All",43,1215595,19,1215849,4
"All",44,1211957,21,1212226,8
"All",45,1208785,10,1209060,4
"All",46,1204162,14,1204448,7
"All",47,1200029,9,1200311,3
"All",48,1195471,13,1195751,7
"All",49,1190364,7,1190648,4
"All",50,1182377,15,1182651,7
"All",51,1176293,12,1176546,5
"All",52,1170125,8,1170380,5
"All",53,1163473,12,1163733,6
"All",54,1145710,8,1145958,5
"All",55,1128724,12,1128953,0
"All",56,1110025,5,1110247,6
"All",57,1070285,9,1070481,3
"All",58,1047277,7,1047441,4
"All",59,1030380,9,1030524,4
"All",60,1015794,8,1015896,4
"All",61,998997,7,999067,4
"All",62,979408,10,979428,1
"All",63,956267,14,956239,2
"All",64,912064,6,911952,5
"All",65,885272,8,885100,5
"All",66,863171,3,862939,6
"All",67,837715,8,837441,3
"All",68,808992,5,808658,4
"All",69,779696,5,779290,0
"All",70,737125,3,736624,5
"All",71,629280,5,628512,8
"All",72,581707,1,580845,6
"All",73,545357,2,544413,1
"All",74,506594,5,505549,1
"All",75,465838,2,464705,0
"All",76,421675,2,420406,2
"All",77,367421,0,366037,2
"All",78,272915,3,271215,4
"All",79,229149,3,227352,3
"All",80,200071,1,198191,2
"All",81,179585,2,177638,3
"All",82,162991,1,160981,1
"All",83,148427,1,146368,3
"All",84,134044,1,131944,1
"All",85,89646,0,87308,2
"All",86,79466,0,77105,1
"All",87,73696,2,71311,3
"All",88,69072,1,66669,1
"All",89,65086,1,62680,1
"All",90,61346,1,58935,1
"AZ",1,1878077,75,1878068,43
"AZ",2,1607052,60,1607051,22
"AZ",3,1425956,74,1425984,23
"AZ",4,1293793,61,1293849,32
"AZ",5,1193824,51,1193901,23
