"","vacc","z.yr","pyears","event","Rate","RR_est"
"1","uv","-1+ thru  13","37280.20",479,13,NA
"2","vacc","-1+ thru  13","37283.40",221,6,NA
"3","uv","13+ thru  20","14490.90",118,8,NA
"4","vacc","13+ thru  20","14493.70",101,7,NA
"5","uv","20+ thru  27","13581.70",95,7,NA
"6","vacc","20+ thru  27","13584.70",52,4,NA
"7","uv","27+ thru  34","12869.00",78,6,NA
"8","vacc","27+ thru  34","12871.80",37,3,NA
"9","uv","34+ thru  41","12532.30",50,4,NA
"10","vacc","34+ thru  41","12535.30",34,3,NA
"11","uv","41+ thru  48","12281.30",48,4,NA
"12","vacc","41+ thru  48","12283.90",21,2,NA
"13","uv","48+ thru  55","11882.00",41,3,NA
"14","vacc","48+ thru  55","11884.40",12,1,NA
"15","uv","55+ thru  62","10612.40",28,3,NA
"16","vacc","55+ thru  62","10613.40",16,2,NA
"17","uv","62+ thru  69","8842.70",24,3,NA
"18","vacc","62+ thru  69","8840.30",11,1,NA
"19","uv","69+ thru  76","5654.40",11,2,NA
"20","vacc","69+ thru  76","5645.70",13,2,NA
"21","uv","76+ thru  83","2271.60",5,2,NA
"22","vacc","76+ thru  83","2255.00",10,4,NA
"23","uv","83+ thru 203","2792.40",11,4,NA
"24","vacc","83+ thru 203","2579.90",10,4,NA
