"vacc","z.yr","vacc_type","pyears","event","Rate","RR_est"
"uv","-1+ thru  13","AZ",20029.6,306,15,NA
"vacc","-1+ thru  13","AZ",20031.7,142,7,"0.46 (0.38, 0.57)"
"uv","13+ thru  20","AZ",7259.3,52,7,NA
"vacc","13+ thru  20","AZ",7261.3,53,7,"1.02 (0.70, 1.49)"
"uv","20+ thru  27","AZ",6823.2,43,6,NA
"vacc","20+ thru  27","AZ",6825.1,25,4,"0.58 (0.36, 0.95)"
"uv","27+ thru  34","AZ",6689.3,37,6,NA
"vacc","27+ thru  34","AZ",6691,16,2,"0.43 (0.24, 0.78)"
"uv","34+ thru  41","AZ",6606.8,22,3,NA
"vacc","34+ thru  41","AZ",6608.4,18,3,"0.82 (0.44, 1.52)"
"uv","41+ thru  48","AZ",6538.2,19,3,NA
"vacc","41+ thru  48","AZ",6539.6,8,1,"0.42 (0.18, 0.96)"
"uv","48+ thru  55","AZ",6399.1,12,2,NA
"vacc","48+ thru  55","AZ",6400.2,6,1,"0.50 (0.19, 1.33)"
"uv","55+ thru  62","AZ",5953.1,10,2,NA
"vacc","55+ thru  62","AZ",5953.3,9,2,"0.90 (0.37, 2.21)"
"uv","62+ thru  69","AZ",5181.3,11,2,NA
"vacc","62+ thru  69","AZ",5179.8,7,1,"0.64 (0.25, 1.64)"
"uv","69+ thru 203","AZ",6545.6,13,2,NA
"vacc","69+ thru 203","AZ",6420.1,25,4,"1.96 (1.00, 3.83)"
"uv","-1+ thru  13","PB",17248,173,10,NA
"vacc","-1+ thru  13","PB",17249.1,79,5,"0.46 (0.35, 0.60)"
"uv","13+ thru  20","PB",7230.5,66,9,NA
"vacc","13+ thru  20","PB",7231.4,48,7,"0.73 (0.50, 1.05)"
"uv","20+ thru  27","PB",6757.5,52,8,NA
"vacc","20+ thru  27","PB",6758.6,27,4,"0.52 (0.33, 0.83)"
"uv","27+ thru  34","PB",6178.8,41,7,NA
"vacc","27+ thru  34","PB",6179.8,21,3,"0.51 (0.30, 0.87)"
"uv","34+ thru  41","PB",5924.6,28,5,NA
"vacc","34+ thru  41","PB",5925.9,16,3,"0.57 (0.31, 1.06)"
"uv","41+ thru  48","PB",5742,29,5,NA
"vacc","41+ thru  48","PB",5743.4,13,2,"0.45 (0.23, 0.86)"
"uv","48+ thru  55","PB",5481.9,29,5,NA
"vacc","48+ thru  55","PB",5483.2,6,1,"0.21 (0.09, 0.50)"
"uv","55+ thru  62","PB",4658.5,18,4,NA
"vacc","55+ thru  62","PB",4659.2,7,2,"0.39 (0.16, 0.93)"
"uv","62+ thru  69","PB",3660.6,13,4,NA
"vacc","62+ thru  69","PB",3659.7,4,1,"0.31 (0.10, 0.94)"
"uv","69+ thru 203","PB",4168,14,3,NA
"vacc","69+ thru 203","PB",4055.8,8,2,"0.59 (0.25, 1.40)"
