"vacc_type","Subgroup","z.yr","n_v1","event_v1","n_v2","event_v2"
"AZ","18-64",1,1096187,5,1096187,9
"AZ","18-64",2,1004511,4,1004521,6
"AZ","18-64",3,938875,5,938892,5
"AZ","18-64",4,882954,5,882980,3
"AZ","18-64",5,835488,9,835529,10
"AZ","18-64",6,793730,7,793777,4
"AZ","18-64",7,756803,4,756867,3
"AZ","18-64",8,722299,6,722375,1
"AZ","18-64",9,694610,2,694702,7
"AZ","18-64",10,670587,1,670674,5
"AZ","18-64",11,646839,4,646925,2
"AZ","18-64",12,624603,6,624700,7
"AZ","18-64",13,603723,1,603826,4
"AZ","18-64",14,584538,1,584633,3
"AZ","18-64",15,565519,2,565604,1
"AZ","18-64",16,549154,2,549247,2
"AZ","18-64",17,533950,2,534037,3
"AZ","18-64",18,520726,1,520812,2
"AZ","18-64",19,508159,2,508249,1
"AZ","18-64",20,495714,5,495812,0
"AZ","18-64",21,484246,3,484344,2
"AZ","18-64",22,473461,3,473559,1
"AZ","18-64",23,443356,6,443451,4
"AZ","18-64",24,417853,2,417946,1
"AZ","18-64",25,402127,2,402213,0
"AZ","18-64",26,383343,3,383422,4
"AZ","18-64",27,364712,3,364785,2
"AZ","18-64",28,348000,6,348076,0
"AZ","18-64",29,331922,5,331998,0
"AZ","18-64",30,317225,3,317296,0
"AZ","18-64",31,303482,4,303544,0
"AZ","18-64",32,294047,1,294108,3
"AZ","18-64",33,283128,2,283185,2
"AZ","18-64",34,271728,2,271775,2
"AZ","18-64",35,260594,1,260631,4
"AZ","18-64",36,250300,2,250324,1
"AZ","18-64",37,239583,1,239597,1
"AZ","18-64",38,230902,1,230916,1
"AZ","18-64",39,224681,2,224684,1
"AZ","18-64",40,215007,0,215001,0
"AZ","18-64",41,204430,0,204407,0
"AZ","18-64",42,194899,1,194869,0
"AZ","18-64",43,184142,1,184109,1
"AZ","18-64",44,173988,0,173949,2
"AZ","18-64",45,164361,0,164300,1
"AZ","18-64",46,159713,1,159648,0
"AZ","18-64",47,153892,0,153817,0
"AZ","18-64",48,148232,1,148149,2
"AZ","18-64",49,142937,0,142839,1
"AZ","18-64",50,138107,0,137998,0
"AZ","18-64",51,133906,3,133790,0
"AZ","18-64",52,130473,2,130355,0
"AZ","18-64",53,128152,1,128030,0
"AZ","18-64",54,119587,3,119466,2
"AZ","18-64",55,114852,0,114735,0
"AZ","18-64",56,108719,1,108600,0
"AZ","18-64",57,102245,1,102129,0
"AZ","18-64",58,96325,0,96210,1
"AZ","18-64",59,93373,0,93256,1
"AZ","18-64",60,89851,0,89727,0
"AZ","18-64",61,84308,0,84176,0
"AZ","18-64",62,77297,1,77171,1
"AZ","18-64",63,69287,0,69166,1
"AZ","18-64",64,61521,0,61412,2
"AZ","18-64",65,56650,1,56535,1
"AZ","18-64",66,52628,0,52522,2
"AZ","18-64",67,51018,1,50915,0
"AZ","18-64",68,44919,1,44824,2
"AZ","18-64",69,41239,0,41149,0
"AZ","18-64",70,37425,0,37339,0
"AZ","18-64",71,33454,1,33373,1
"AZ","18-64",72,30678,0,30598,0
"AZ","18-64",73,28312,0,28232,0
"AZ","18-64",74,27386,0,27309,3
"AZ","18-64",75,24317,1,24255,0
"AZ","18-64",76,21345,0,21295,0
"AZ","18-64",77,19189,0,19147,0
"AZ","18-64",78,17221,0,17185,0
"AZ","18-64",79,15901,1,15867,1
"AZ","18-64",80,14841,0,14810,0
"AZ","18-64",81,14422,0,14394,0
"AZ","18-64",82,12794,0,12769,0
"AZ","18-64",83,11949,0,11923,1
"AZ","18-64",84,10642,0,10617,0
"AZ","18-64",85,9807,0,9786,0
"AZ","18-64",86,9154,0,9135,0
"AZ","18-64",87,9048,0,9029,0
"AZ","18-64",88,9020,0,8999,0
"AZ","18-64",89,8894,0,8874,0
"AZ","18-64",90,8589,0,8569,0
"PB","18-64",1,467173,4,467172,1
"PB","18-64",2,438715,4,438723,3
"PB","18-64",3,419267,3,419282,0
"PB","18-64",4,402224,3,402245,1
"PB","18-64",5,388098,0,388121,1
"PB","18-64",6,375812,5,375837,0
"PB","18-64",7,364852,7,364890,0
"PB","18-64",8,354732,2,354781,1
"PB","18-64",9,345257,4,345313,1
"PB","18-64",10,336844,2,336906,0
"PB","18-64",11,331421,2,331484,0
"PB","18-64",12,326691,4,326756,1
"PB","18-64",13,321796,0,321868,0
"PB","18-64",14,317128,3,317202,0
"PB","18-64",15,312789,0,312867,0
"PB","18-64",16,308934,0,309017,0
"PB","18-64",17,305808,1,305892,0
"PB","18-64",18,303536,0,303621,0
"PB","18-64",19,300877,3,300968,0
"PB","18-64",20,299035,1,299131,1
"PB","18-64",21,297445,1,297540,2
"PB","18-64",22,295921,0,296021,0
"PB","18-64",23,293927,3,294031,0
"PB","18-64",24,292323,0,292432,0
"PB","18-64",25,291252,1,291360,0
"PB","18-64",26,290422,1,290533,0
"PB","18-64",27,289725,1,289843,0
"PB","18-64",28,289067,2,289184,0
"PB","18-64",29,288495,1,288618,0
"PB","18-64",30,287956,0,288086,0
"PB","18-64",31,287720,1,287850,0
"PB","18-64",32,287415,0,287549,0
"PB","18-64",33,287036,0,287169,0
"PB","18-64",34,286766,1,286898,0
"PB","18-64",35,286466,0,286601,0
"PB","18-64",36,286029,2,286165,0
"PB","18-64",37,285610,1,285749,0
"PB","18-64",38,285355,0,285500,0
"PB","18-64",39,284659,2,284804,0
"PB","18-64",40,283996,2,284143,0
"PB","18-64",41,283465,0,283616,0
"PB","18-64",42,282883,1,283030,0
"PB","18-64",43,281950,3,282099,0
"PB","18-64",44,280465,0,280615,0
"PB","18-64",45,278709,1,278855,0
"PB","18-64",46,277925,0,278072,0
"PB","18-64",47,277049,0,277197,0
"PB","18-64",48,275371,0,275517,0
"PB","18-64",49,273771,1,273918,0
"PB","18-64",50,271329,0,271475,0
"PB","18-64",51,268955,1,269093,0
"PB","18-64",52,267151,1,267291,0
"PB","18-64",53,265480,0,265619,0
"PB","18-64",54,261221,0,261357,2
"PB","18-64",55,257937,3,258064,0
"PB","18-64",56,254969,1,255101,1
"PB","18-64",57,251833,0,251954,0
"PB","18-64",58,248658,0,248777,0
"PB","18-64",59,246242,2,246357,2
"PB","18-64",60,244546,0,244661,1
"PB","18-64",61,243130,0,243240,1
"PB","18-64",62,241449,1,241558,0
"PB","18-64",63,239726,0,239837,1
"PB","18-64",64,237803,2,237910,0
"PB","18-64",65,236021,0,236128,0
"PB","18-64",66,234054,1,234161,0
"PB","18-64",67,232645,0,232749,0
"PB","18-64",68,231381,2,231487,0
"PB","18-64",69,229699,2,229806,0
"PB","18-64",70,227993,0,228101,0
"PB","18-64",71,226212,1,226319,0
"PB","18-64",72,223736,1,223843,2
"PB","18-64",73,222359,1,222461,2
"PB","18-64",74,221727,0,221827,0
"PB","18-64",75,220705,0,220802,0
"PB","18-64",76,218548,0,218642,0
"PB","18-64",77,216654,0,216748,1
"PB","18-64",78,214219,0,214310,0
"PB","18-64",79,211491,0,211578,0
"PB","18-64",80,209372,0,209459,1
"PB","18-64",81,206957,2,207043,1
"PB","18-64",82,205524,0,205613,0
"PB","18-64",83,202677,1,202760,0
"PB","18-64",84,198393,0,198471,1
"PB","18-64",85,192954,2,193033,0
"PB","18-64",86,187831,1,187914,0
"PB","18-64",87,185553,0,185634,0
"PB","18-64",88,184065,0,184146,1
"PB","18-64",89,179686,1,179764,1
"PB","18-64",90,175507,0,175590,0
"AZ","65-79",1,351805,2,351803,9
"AZ","65-79",2,309800,1,309844,5
"AZ","65-79",3,279674,2,279767,3
"AZ","65-79",4,255060,2,255187,2
"AZ","65-79",5,234042,1,234224,2
"AZ","65-79",6,214721,0,214933,3
"AZ","65-79",7,197803,1,198052,2
"AZ","65-79",8,181496,2,181778,0
"AZ","65-79",9,169646,3,169976,2
"AZ","65-79",10,159592,2,159969,1
"AZ","65-79",11,151056,0,151473,2
"AZ","65-79",12,143802,1,144256,2
"AZ","65-79",13,137371,0,137860,0
"AZ","65-79",14,132189,0,132707,0
"AZ","65-79",15,127498,2,128064,1
"AZ","65-79",16,124030,2,124624,0
"AZ","65-79",17,121512,0,122123,1
"AZ","65-79",18,119324,2,119956,1
"AZ","65-79",19,117568,0,118221,0
"AZ","65-79",20,116042,1,116740,1
"AZ","65-79",21,114782,1,115489,0
"AZ","65-79",22,113699,1,114439,0
"AZ","65-79",23,112857,0,113614,1
"AZ","65-79",24,112274,0,113050,0
"AZ","65-79",25,111784,0,112591,0
"AZ","65-79",26,111294,1,112118,0
"AZ","65-79",27,110862,2,111702,2
"AZ","65-79",28,110530,0,111393,0
"AZ","65-79",29,110264,1,111137,1
"AZ","65-79",30,110091,2,110993,0
"AZ","65-79",31,109935,0,110859,0
"AZ","65-79",32,109852,1,110784,1
"AZ","65-79",33,109695,2,110653,0
"AZ","65-79",34,109486,0,110467,1
"AZ","65-79",35,109279,0,110267,0
"AZ","65-79",36,109099,1,110096,0
"AZ","65-79",37,108901,0,109913,0
"AZ","65-79",38,108642,0,109674,0
"AZ","65-79",39,108528,1,109575,1
"AZ","65-79",40,108342,0,109397,1
"AZ","65-79",41,108092,0,109164,1
"AZ","65-79",42,107756,3,108841,1
"AZ","65-79",43,107445,2,108545,2
"AZ","65-79",44,107110,0,108219,0
"AZ","65-79",45,106818,5,107929,1
"AZ","65-79",46,106501,6,107622,0
"AZ","65-79",47,106263,5,107397,1
"AZ","65-79",48,105920,1,107062,0
"AZ","65-79",49,105278,0,106417,0
"AZ","65-79",50,104948,1,106091,1
"AZ","65-79",51,104463,2,105624,0
"AZ","65-79",52,104149,4,105316,1
"AZ","65-79",53,103965,0,105136,0
"AZ","65-79",54,101740,1,102903,3
"AZ","65-79",55,99319,1,100457,2
"AZ","65-79",56,96055,0,97179,0
