"vacc_type","z.yr","n_v1","event_v1","n_v2","event_v2"
"AZ",83,7362,1,8361,0
"AZ",84,6615,0,7541,0
"AZ",85,5964,0,6816,0
"AZ",86,5652,0,6460,0
"AZ",87,5566,0,6372,0
"AZ",88,5532,1,6337,0
"AZ",89,5407,0,6201,0
"AZ",90,5168,0,5918,0
"PB",1,711825,7,711926,2
"PB",2,554322,6,554507,3
"PB",3,482580,3,482865,1
"PB",4,429594,0,429947,1
"PB",5,388721,4,389125,0
"PB",6,352361,0,352813,1
"PB",7,316857,3,317371,1
"PB",8,278598,2,279199,1
"PB",9,255251,2,255898,0
"PB",10,237557,0,238244,0
"PB",11,223369,2,224145,0
"PB",12,210832,0,211629,1
"PB",13,199290,0,200147,3
"PB",14,186371,0,187260,0
"PB",15,171551,4,172482,1
"PB",16,162380,1,163378,0
"PB",17,155015,0,156052,0
"PB",18,148361,0,149436,1
"PB",19,140887,0,142010,0
"PB",20,134448,0,135696,0
"PB",21,128526,0,129794,2
"PB",22,121787,0,123095,0
"PB",23,116534,2,117865,0
"PB",24,112070,0,113419,0
"PB",25,108061,0,109424,0
"PB",26,104154,0,105573,1
"PB",27,100465,1,101895,0
"PB",28,95889,0,97326,0
"PB",29,91969,3,93417,0
"PB",30,88947,0,90456,0
"PB",31,85921,0,87442,0
"PB",32,83533,0,85082,0
"PB",33,81146,0,82710,0
"PB",34,78970,4,80541,0
"PB",35,76711,0,78319,0
"PB",36,73999,0,75656,1
"PB",37,71915,0,73591,0
"PB",38,70028,0,71732,0
"PB",39,68294,0,70005,0
"PB",40,66528,0,68262,0
"PB",41,64444,0,66248,0
"PB",42,62517,0,64343,0
"PB",43,60568,0,62404,0
"PB",44,58740,0,60616,0
"PB",45,56996,0,58886,0
"PB",46,55265,0,57169,0
"PB",47,53771,0,55676,0
"PB",48,51934,0,53835,0
"PB",49,50016,0,51916,0
"PB",50,47904,0,49805,0
"PB",51,46307,0,48208,0
"PB",52,45016,0,46917,0
"PB",53,43690,0,45575,0
"PB",54,42520,0,44411,0
"PB",55,41234,0,43101,0
"PB",56,39771,0,41632,0
"PB",57,38463,0,40303,0
"PB",58,37147,0,38916,0
"PB",59,36216,0,37976,0
"PB",60,34875,0,36602,0
"PB",61,33740,0,35445,0
"PB",62,32554,0,34258,0
"PB",63,31654,0,33349,0
"PB",64,30686,0,32342,0
"PB",65,29758,0,31372,0
"PB",66,28787,0,30359,0
"PB",67,27587,0,29025,0
"PB",68,26605,0,27985,0
"PB",69,25585,0,26888,0
"PB",70,24521,0,25748,0
"PB",71,23293,0,24417,0
"PB",72,21782,0,22749,0
"PB",73,20348,0,21079,0
"PB",74,20095,0,20825,0
"PB",75,18985,0,19667,0
"PB",76,18588,0,19262,0
"PB",77,18105,0,18751,1
"PB",78,17663,0,18287,0
"PB",79,17220,0,17831,0
"PB",80,16816,0,17423,0
"PB",81,16415,0,16995,0
"PB",82,16020,0,16521,0
"PB",83,15390,0,15863,0
"PB",84,14878,0,15327,0
"PB",85,14390,0,14822,0
"PB",86,13906,0,14327,0
"PB",87,13714,0,14123,0
"PB",88,13424,0,13824,0
"PB",89,12717,0,13091,0
"PB",90,12179,0,12542,0
