"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"1","v1","-1+ thru  13","AZ","F",20975,55,3,NA
"2","v2","-1+ thru  13","AZ","F",20551.1,79,4,"1.47 (1.04, 2.07)"
"3","v1","13+ thru  20","AZ","F",7519.3,15,2,NA
"4","v2","13+ thru  20","AZ","F",7326.1,7,1,"0.48 (0.2, 1.18)"
"5","v1","20+ thru  27","AZ","F",6320.4,14,2,NA
"6","v2","20+ thru  27","AZ","F",6138,8,1,"0.59 (0.25, 1.4)"
"7","v1","27+ thru  34","AZ","F",5195.2,23,4,NA
"8","v2","27+ thru  34","AZ","F",5003.8,9,2,"0.41 (0.19, 0.88)"
"9","v1","34+ thru  41","AZ","F",4456.6,6,1,NA
"10","v2","34+ thru  41","AZ","F",4270.2,10,2,"1.74 (0.63, 4.79)"
"11","v1","41+ thru  48","AZ","F",3795.4,17,4,NA
"12","v2","41+ thru  48","AZ","F",3615.1,6,2,"0.37 (0.15, 0.94)"
"13","v1","48+ thru  55","AZ","F",3361.4,12,4,NA
"14","v2","48+ thru  55","AZ","F",3199.2,6,2,"0.52 (0.2, 1.4)"
"15","v1","55+ thru  62","AZ","F",2777.6,5,2,NA
"16","v2","55+ thru  62","AZ","F",2666.4,9,3,"1.88 (0.63, 5.59)"
"17","v1","62+ thru  69","AZ","F",2070.6,5,2,NA
"18","v2","62+ thru  69","AZ","F",2022.4,9,4,"1.84 (0.62, 5.5)"
"19","v1","69+ thru 182","AZ","F",4476.1,14,3,NA
"20","v2","69+ thru 182","AZ","F",4444.2,24,5,"1.73 (0.89, 3.34)"
"21","v1","-1+ thru  13","PB","F",12277.9,34,3,NA
"22","v2","-1+ thru  13","PB","F",12399.9,13,1,"0.38 (0.2, 0.72)"
"23","v1","13+ thru  20","PB","F",5002,6,1,NA
"24","v2","13+ thru  20","PB","F",5061.6,1,0,"0.16 (0.02, 1.37)"
"25","v1","20+ thru  27","PB","F",4771.3,8,2,NA
"26","v2","20+ thru  27","PB","F",4823,2,0,"0.25 (0.05, 1.17)"
"27","v1","27+ thru  34","PB","F",4696.5,7,1,NA
"28","v2","27+ thru  34","PB","F",4743.2,0,0,"0 (0, Inf)"
"29","v1","34+ thru  41","PB","F",4664.4,6,1,NA
"30","v2","34+ thru  41","PB","F",4709.1,0,0,"0 (0, Inf)"
"31","v1","41+ thru  48","PB","F",4595.7,3,1,NA
"32","v2","41+ thru  48","PB","F",4641.9,1,0,"0.33 (0.03, 3.17)"
"33","v1","48+ thru  55","PB","F",4436.4,3,1,NA
"34","v2","48+ thru  55","PB","F",4487.3,1,0,"0.33 (0.03, 3.17)"
"35","v1","55+ thru  62","PB","F",4073.3,2,0,NA
"36","v2","55+ thru  62","PB","F",4131.7,5,1,"2.46 (0.48, 12.7)"
"37","v1","62+ thru  69","PB","F",3808.7,5,1,NA
"38","v2","62+ thru  69","PB","F",3866.9,0,0,"0 (0, Inf)"
"39","v1","69+ thru 182","PB","F",18417.9,18,1,NA
"40","v2","69+ thru 182","PB","F",18543.5,11,1,"0.61 (0.29, 1.28)"
"41","v1","-1+ thru  13","AZ","M",18789.5,48,3,NA
"42","v2","-1+ thru  13","AZ","M",19235.6,35,2,"0.71 (0.46, 1.1)"
"43","v1","13+ thru  20","AZ","M",6550.4,16,2,NA
"44","v2","13+ thru  20","AZ","M",6771.2,12,2,"0.73 (0.34, 1.53)"
"45","v1","20+ thru  27","AZ","M",5319.8,25,5,NA
"46","v2","20+ thru  27","AZ","M",5536.8,13,2,"0.5 (0.26, 0.98)"
"47","v1","27+ thru  34","AZ","M",4135.7,12,3,NA
"48","v2","27+ thru  34","AZ","M",4366.4,7,2,"0.55 (0.22, 1.4)"
"49","v1","34+ thru  41","AZ","M",3408.4,6,2,NA
"50","v2","34+ thru  41","AZ","M",3637.4,7,2,"1.09 (0.37, 3.25)"
"51","v1","41+ thru  48","AZ","M",2805.1,13,5,NA
"52","v2","41+ thru  48","AZ","M",3029.7,9,3,"0.64 (0.27, 1.5)"
"53","v1","48+ thru  55","AZ","M",2422.5,13,5,NA
"54","v2","48+ thru  55","AZ","M",2630.2,8,3,"0.57 (0.24, 1.37)"
"55","v1","55+ thru  62","AZ","M",1976.5,14,7,NA
"56","v2","55+ thru  62","AZ","M",2132.2,6,3,"0.4 (0.15, 1.03)"
"57","v1","62+ thru  69","AZ","M",1447.7,10,7,NA
"58","v2","62+ thru  69","AZ","M",1534,7,5,"0.66 (0.25, 1.74)"
"59","v1","69+ thru 182","AZ","M",3012.5,11,4,NA
"60","v2","69+ thru 182","AZ","M",3109.7,18,6,"1.58 (0.75, 3.36)"
"61","v1","-1+ thru  13","PB","M",7043,23,3,NA
"62","v2","-1+ thru  13","PB","M",6927.9,7,1,"0.31 (0.13, 0.72)"
"63","v1","13+ thru  20","PB","M",2571.6,5,2,NA
"64","v2","13+ thru  20","PB","M",2520.3,0,0,"0 (0, Inf)"
"65","v1","20+ thru  27","PB","M",2421.4,1,0,NA
"66","v2","20+ thru  27","PB","M",2380.1,2,1,"2.04 (0.18, 22.44)"
"67","v1","27+ thru  34","PB","M",2370.4,3,1,NA
"68","v2","27+ thru  34","PB","M",2335.7,1,0,"0.34 (0.04, 3.25)"
"69","v1","34+ thru  41","PB","M",2343.7,2,1,NA
"70","v2","34+ thru  41","PB","M",2312.4,0,0,"0 (0, Inf)"
"71","v1","41+ thru  48","PB","M",2287.9,5,2,NA
"72","v2","41+ thru  48","PB","M",2256.2,0,0,"0 (0, Inf)"
"73","v1","48+ thru  55","PB","M",2153.9,4,2,NA
"74","v2","48+ thru  55","PB","M",2117.3,3,1,"0.76 (0.17, 3.41)"
"75","v1","55+ thru  62","PB","M",1843,5,3,NA
"76","v2","55+ thru  62","PB","M",1796.4,2,1,"0.41 (0.08, 2.12)"
"77","v1","62+ thru  69","PB","M",1625.2,5,3,NA
"78","v2","62+ thru  69","PB","M",1576.2,3,2,"0.62 (0.15, 2.59)"
"79","v1","69+ thru 182","PB","M",6793.8,5,1,NA
"80","v2","69+ thru 182","PB","M",6684.7,3,0,"0.61 (0.15, 2.55)"
"81","v1","-1+ thru  13","AZ","18-64",28121,59,2,NA
"82","v2","-1+ thru  13","AZ","18-64",28123.1,66,2,"1.12 (0.79, 1.59)"
"83","v1","13+ thru  20","AZ","18-64",10288.2,15,1,NA
"84","v2","13+ thru  20","AZ","18-64",10289.9,12,1,"0.8 (0.37, 1.71)"
"85","v1","20+ thru  27","AZ","18-64",8128.9,22,3,NA
"86","v2","20+ thru  27","AZ","18-64",8130.7,14,2,"0.64 (0.33, 1.24)"
"87","v1","27+ thru  34","AZ","18-64",5885.1,23,4,NA
"88","v2","27+ thru  34","AZ","18-64",5886.3,7,1,"0.3 (0.13, 0.71)"
"89","v1","34+ thru  41","AZ","18-64",4450.4,7,2,NA
"90","v2","34+ thru  41","AZ","18-64",4450.5,8,2,"1.14 (0.41, 3.15)"
"91","v1","41+ thru  48","AZ","18-64",3228.5,4,1,NA
"92","v2","41+ thru  48","AZ","18-64",3227.5,6,2,"1.5 (0.42, 5.32)"
"93","v1","48+ thru  55","AZ","18-64",2486,9,4,NA
