"vacc_type","Subgroup","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"AZ","18-64",1,679814,16,679811,9
"AZ","18-64",2,582567,7,582567,2
"AZ","18-64",3,521513,13,521519,5
"AZ","18-64",4,478981,12,478991,7
"AZ","18-64",5,447866,11,447879,8
"AZ","18-64",6,424603,6,424617,4
"AZ","18-64",7,405631,4,405646,4
"AZ","18-64",8,389157,6,389171,2
"AZ","18-64",9,376091,7,376107,5
"AZ","18-64",10,365637,5,365649,9
"AZ","18-64",11,356496,7,356503,1
"AZ","18-64",12,348032,3,348044,3
"AZ","18-64",13,340854,7,340862,6
"AZ","18-64",14,334439,2,334440,6
"AZ","18-64",15,328689,5,328685,5
"AZ","18-64",16,323934,2,323931,8
"AZ","18-64",17,319918,3,319905,3
"AZ","18-64",18,316515,2,316502,6
"AZ","18-64",19,313330,5,313307,4
"AZ","18-64",20,310468,2,310447,6
"AZ","18-64",21,307850,3,307822,1
"AZ","18-64",22,305709,3,305679,2
"AZ","18-64",23,303840,8,303810,3
"AZ","18-64",24,302284,6,302259,1
"AZ","18-64",25,301121,3,301101,1
"AZ","18-64",26,300042,1,300025,0
"AZ","18-64",27,299175,4,299154,1
"AZ","18-64",28,298473,2,298449,1
"AZ","18-64",29,297629,3,297603,0
"AZ","18-64",30,297116,4,297089,1
"AZ","18-64",31,296626,3,296592,1
"AZ","18-64",32,295905,3,295873,2
"AZ","18-64",33,295235,3,295199,1
"AZ","18-64",34,294545,8,294506,1
"AZ","18-64",35,293902,2,293873,1
"AZ","18-64",36,293206,2,293172,6
"AZ","18-64",37,292758,1,292716,1
"AZ","18-64",38,292304,2,292262,0
"AZ","18-64",39,291880,2,291836,1
"AZ","18-64",40,291525,1,291477,3
"AZ","18-64",41,291170,3,291117,1
"AZ","18-64",42,290808,2,290753,2
"AZ","18-64",43,290208,1,290152,0
"AZ","18-64",44,289887,0,289828,1
"AZ","18-64",45,289532,1,289472,1
"AZ","18-64",46,288817,3,288753,1
"AZ","18-64",47,288261,2,288190,0
"AZ","18-64",48,287687,2,287617,0
"AZ","18-64",49,286958,2,286890,0
"AZ","18-64",50,285787,1,285718,0
"AZ","18-64",51,284834,1,284761,0
"AZ","18-64",52,284006,1,283936,1
"AZ","18-64",53,283040,1,282970,2
"AZ","18-64",54,279785,1,279708,1
"AZ","18-64",55,277206,1,277126,0
"AZ","18-64",56,273947,1,273866,3
