"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"AZ",83,51921,0,51314,1
"AZ",84,47299,1,46682,0
"AZ",85,34408,0,33722,0
"AZ",86,30461,0,29771,0
"AZ",87,28189,0,27494,1
"AZ",88,26240,0,25535,0
"AZ",89,24590,1,23883,0
"AZ",90,23011,1,22302,0
"PB",1,711081,13,711080,2
"PB",2,623236,19,623240,4
"PB",3,565093,14,565106,2
"PB",4,522365,16,522381,4
"PB",5,492121,13,492144,2
"PB",6,469695,15,469730,3
"PB",7,451142,10,451182,10
"PB",8,434662,14,434698,10
"PB",9,422394,15,422433,6
"PB",10,412650,16,412700,10
"PB",11,404780,4,404835,8
"PB",12,398100,12,398147,11
"PB",13,392496,12,392545,7
"PB",14,387357,10,387410,10
"PB",15,382902,10,382950,6
"PB",16,379240,5,379289,7
"PB",17,376314,13,376354,8
"PB",18,373747,10,373789,5
"PB",19,371597,5,371640,7
"PB",20,369781,13,369823,5
"PB",21,368100,8,368148,6
"PB",22,365511,8,365561,5
"PB",23,358603,12,358655,3
"PB",24,352717,6,352780,4
"PB",25,346660,10,346720,4
"PB",26,340740,4,340808,2
"PB",27,335848,4,335910,3
"PB",28,331413,5,331470,4
"PB",29,326958,4,327015,1
"PB",30,323818,6,323876,5
"PB",31,321591,8,321645,4
"PB",32,319538,3,319596,5
"PB",33,317681,5,317736,1
"PB",34,315793,10,315851,1
"PB",35,313913,4,313979,2
"PB",36,311618,3,311690,3
"PB",37,310133,6,310201,3
"PB",38,308814,4,308881,1
"PB",39,307785,2,307855,5
"PB",40,306542,5,306608,1
"PB",41,305149,4,305219,1
"PB",42,303584,2,303657,1
"PB",43,302026,8,302090,3
"PB",44,300677,7,300747,2
"PB",45,299555,2,299623,0
"PB",46,298409,3,298479,2
"PB",47,297232,3,297299,1
"PB",48,295798,4,295864,4
"PB",49,294160,2,294227,1
"PB",50,291528,6,291594,3
"PB",51,289665,6,289730,0
"PB",52,287565,2,287635,1
"PB",53,285236,5,285305,1
"PB",54,279829,3,279900,0
"PB",55,274293,5,274365,0
"PB",56,268355,1,268420,1
"PB",57,254733,1,254784,0
"PB",58,246296,2,246339,1
"PB",59,241102,4,241140,3
"PB",60,236060,3,236084,1
"PB",61,230606,4,230629,1
"PB",62,224361,3,224371,0
"PB",63,217384,3,217389,0
"PB",64,203273,2,203245,0
"PB",65,195847,4,195803,1
"PB",66,190474,0,190417,2
"PB",67,183866,0,183804,0
"PB",68,176414,0,176345,1
"PB",69,169779,4,169697,0
"PB",70,160831,0,160741,0
"PB",71,129564,1,129427,0
"PB",72,118447,1,118299,3
"PB",73,109343,0,109176,0
"PB",74,100005,3,99824,0
"PB",75,91299,0,91103,0
"PB",76,81562,0,81340,0
"PB",77,70017,0,69768,0
