"vacc_type","z.yr","n_uv","event_uv","n_vacc","event_vacc"
"AZ",76,88624,0,88630,1
"AZ",77,77791,0,77689,0
"AZ",78,48211,0,47776,1
"AZ",79,42440,0,41953,0
"AZ",80,38315,0,37803,0
"AZ",81,35197,0,34656,1
"AZ",82,30154,0,29628,0
"AZ",83,26866,0,26311,0
"AZ",84,22156,0,21635,0
"AZ",85,7644,0,6836,0
"AZ",86,5930,0,5241,0
"AZ",87,4916,0,4304,0
"AZ",88,4224,0,3678,0
"AZ",89,3730,0,3244,0
"AZ",90,3507,0,3038,0
"PB",1,827023,30,827021,4
"PB",2,759390,39,759460,7
"PB",3,710711,32,710862,5
"PB",4,674034,27,674258,6
"PB",5,648645,26,648926,3
"PB",6,632512,21,632865,4
"PB",7,619078,22,619491,14
"PB",8,605728,13,606176,16
"PB",9,596578,20,597076,11
"PB",10,589305,19,589856,14
"PB",11,583666,20,584252,12
"PB",12,578760,27,579383,14
"PB",13,573811,26,574475,11
"PB",14,564495,15,565199,9
"PB",15,557078,10,557805,7
"PB",16,549946,15,550691,8
"PB",17,544047,15,544820,10
"PB",18,539278,21,540068,7
"PB",19,535970,12,536796,7
"PB",20,533237,12,534091,4
"PB",21,530540,12,531421,8
"PB",22,523528,7,524437,6
"PB",23,520090,15,521028,4
"PB",24,517641,18,518610,3
"PB",25,515847,14,516851,4
"PB",26,514697,13,515741,2
"PB",27,513727,10,514802,3
"PB",28,512457,7,513553,5
"PB",29,510564,4,511678,3
"PB",30,509437,9,510552,2
"PB",31,508417,14,509550,3
"PB",32,507457,8,508625,1
"PB",33,506648,4,507838,2
"PB",34,505645,7,506846,3
"PB",35,504715,5,505931,6
"PB",36,502759,10,503975,2
"PB",37,501581,16,502805,2
"PB",38,500442,10,501685,2
"PB",39,499299,5,500546,4
"PB",40,498065,4,499321,2
"PB",41,496535,10,497797,0
"PB",42,494708,5,495983,1
"PB",43,492456,8,493718,3
"PB",44,490878,9,492146,3
"PB",45,489431,8,490706,2
"PB",46,487961,6,489239,2
"PB",47,486475,9,487765,0
"PB",48,484721,11,486024,2
"PB",49,482235,4,483539,1
"PB",50,478163,6,479456,3
"PB",51,475437,7,476731,2
"PB",52,472583,8,473877,2
"PB",53,469019,0,470318,2
"PB",54,465284,5,466568,0
"PB",55,458632,5,459909,0
