"","vacc","z.yr","vacc_type","group","pyears","event","Rate","RR_est"
"72","vacc","41+ thru  48","PB","M",3321.1,9,3,"0.39 (0.18, 0.85)"
"73","uv","48+ thru  55","PB","M",3211.4,13,4,NA
"74","vacc","48+ thru  55","PB","M",3214.1,3,1,"0.23 (0.07, 0.81)"
"75","uv","55+ thru  62","PB","M",2850.3,10,4,NA
"76","vacc","55+ thru  62","PB","M",2857.8,3,1,"0.3 (0.08, 1.09)"
"77","uv","62+ thru  69","PB","M",2154.3,9,4,NA
"78","vacc","62+ thru  69","PB","M",2149.5,3,1,"0.33 (0.09, 1.23)"
"79","uv","69+ thru 142","PB","M",1918.7,5,3,NA
"80","vacc","69+ thru 142","PB","M",1913.7,4,2,"0.8 (0.22, 2.99)"
"81","uv","-1+ thru  13","AZ","18-64",32530.4,150,5,NA
"82","vacc","-1+ thru  13","AZ","18-64",32534,113,3,"0.75 (0.59, 0.96)"
"83","uv","13+ thru  20","AZ","18-64",14411.1,54,4,NA
"84","vacc","13+ thru  20","AZ","18-64",14415.1,48,3,"0.89 (0.6, 1.31)"
"85","uv","20+ thru  27","AZ","18-64",12989.5,33,3,NA
"86","vacc","20+ thru  27","AZ","18-64",12993.9,24,2,"0.73 (0.43, 1.23)"
"87","uv","27+ thru  34","AZ","18-64",11251.2,38,3,NA
"88","vacc","27+ thru  34","AZ","18-64",11255.6,19,2,"0.5 (0.29, 0.87)"
"89","uv","34+ thru  41","AZ","18-64",9137.2,20,2,NA
"90","vacc","34+ thru  41","AZ","18-64",9140.4,15,2,"0.75 (0.38, 1.46)"
"91","uv","41+ thru  48","AZ","18-64",6876.2,8,1,NA
"92","vacc","41+ thru  48","AZ","18-64",6877.1,5,1,"0.62 (0.2, 1.91)"
"93","uv","48+ thru  55","AZ","18-64",5403.7,8,1,NA
"94","vacc","48+ thru  55","AZ","18-64",5403.1,4,1,"0.5 (0.15, 1.66)"
"95","uv","55+ thru  62","AZ","18-64",3461.4,8,2,NA
