"vacc_type","z.yr","n_v1","event_v1","n_v2","event_v2"
"All",1,1351823,12,1351817,16
"All",2,1211593,10,1211680,9
"All",3,1115914,11,1116090,7
"All",4,1037610,9,1037860,6
"All",5,972594,8,972919,9
"All",6,916507,8,916898,1
"All",7,868039,7,868517,4
"All",8,822315,5,822859,2
"All",9,786257,7,786871,3
"All",10,755853,4,756524,2
"All",11,729241,5,729950,3
"All",12,705520,9,706287,8
"All",13,683539,2,684349,2
"All",14,664816,2,665662,2
"All",15,646916,4,647797,2
"All",16,631984,2,632901,1
"All",17,619105,2,620038,3
"All",18,608607,3,609549,2
"All",19,598753,5,599726,0
"All",20,589815,4,590833,2
"All",21,581693,5,582721,4
"All",22,574238,3,575296,1
"All",23,557034,5,558113,3
"All",24,542859,1,543957,2
"All",25,534055,3,535173,0
"All",26,524111,4,525240,4
"All",27,514509,5,515655,2
"All",28,505956,5,507129,1
"All",29,497847,6,499030,0
"All",30,490228,1,491441,2
"All",31,483144,2,484361,0
"All",32,477914,2,479150,1
"All",33,472009,1,473265,3
"All",34,465923,4,467176,2
"All",35,460114,1,461366,2
"All",36,454632,4,455893,2
"All",37,449180,1,450448,0
"All",38,444597,1,445876,1
"All",39,440848,3,442129,2
"All",40,435185,2,436470,1
"All",41,429004,0,430280,1
"All",42,423257,3,424543,1
"All",43,416579,4,417870,1
"All",44,409952,0,411242,1
"All",45,403615,3,404893,0
"All",46,400434,1,401712,0
"All",47,396596,2,397875,2
"All",48,392409,2,393688,1
"All",49,388300,1,389561,1
"All",50,384153,0,385409,1
"All",51,380346,3,381603,0
"All",52,377174,1,378427,1
"All",53,374683,3,375937,0
"All",54,365354,3,366603,3
"All",55,358686,3,359928,2
"All",56,351022,2,352253,1
"All",57,342963,1,344190,0
"All",58,335669,0,336873,0
"All",59,331389,4,332594,3
"All",60,326921,1,328104,1
"All",61,320942,2,322099,0
"All",62,313434,3,314571,2
"All",63,305339,0,306464,2
"All",64,297509,4,298616,3
"All",65,291419,1,292502,2
"All",66,286165,1,287228,1
"All",67,283446,2,284495,1
"All",68,277039,3,278037,2
"All",69,272291,2,273241,1
"All",70,267217,1,268114,1
"All",71,261920,3,262774,1
"All",72,257484,1,258305,1
"All",73,253953,1,254733,2
"All",74,252500,1,253268,2
"All",75,248889,2,249624,0
"All",76,244923,1,245638,1
"All",77,241535,2,242213,1
"All",78,237833,0,238483,1
"All",79,234560,1,235168,2
"All",80,232048,0,232640,0
"All",81,229967,2,230553,0
"All",82,227286,1,227792,2
"All",83,224506,1,224979,1
"All",84,211042,0,211474,0
"All",85,198898,1,199305,1
"All",86,190493,1,190874,1
"All",87,187099,0,187461,2
"All",88,185511,1,185870,1
"All",89,180456,0,180812,1
"All",90,174066,1,174433,2
"AZ",1,882366,7,882363,14
"AZ",2,791551,7,791611,6
"AZ",3,727727,7,727863,6
"AZ",4,674482,5,674674,4
"AZ",5,630186,6,630439,8
"AZ",6,591066,5,591368,1
"AZ",7,557359,2,557724,4
"AZ",8,525248,3,525662,1
"AZ",9,500537,4,501011,3
"AZ",10,479654,2,480178,2
"AZ",11,460225,4,460778,3
"AZ",12,442865,6,443467,7
"AZ",13,426664,1,427298,1
"AZ",14,412621,0,413280,2
"AZ",15,399012,3,399701,2
"AZ",16,387834,2,388559,1
"AZ",17,378087,2,378822,3
"AZ",18,369676,3,370422,2
"AZ",19,362079,3,362847,0
"AZ",20,354624,2,355428,1
"AZ",21,347831,5,348640,2
"AZ",22,341556,3,342388,1
"AZ",23,325774,3,326624,3
"AZ",24,312702,1,313562,2
"AZ",25,304630,2,305509,0
"AZ",26,295335,3,296218,3
"AZ",27,286286,3,287175,2
"AZ",28,278222,3,279135,1
"AZ",29,270570,5,271491,0
"AZ",30,263371,1,264313,1
"AZ",31,256455,1,257400,0
"AZ",32,251432,2,252389,1
"AZ",33,245782,1,246756,3
"AZ",34,239876,2,240847,2
"AZ",35,234281,1,235243,2
"AZ",36,229125,2,230099,2
"AZ",37,223959,1,224939,0
"AZ",38,219544,1,220529,1
"AZ",39,216212,2,217196,2
"AZ",40,210960,0,211944,1
"AZ",41,205101,0,206075,1
"AZ",42,199741,2,200722,1
"AZ",43,193668,1,194651,1
"AZ",44,188020,0,188998,1
"AZ",45,182624,2,183585,0
"AZ",46,179936,1,180902,0
"AZ",47,176659,1,177627,2
"AZ",48,173413,2,174379,1
"AZ",49,170289,0,171236,1
"AZ",50,167561,0,168501,1
"AZ",51,165152,2,166098,0
"AZ",52,163045,0,163987,1
