"vacc_type","z.yr","n_v1","event_v1","n_v2","event_v2"
"AZ",53,161634,3,162578,0
"AZ",54,155244,2,156188,3
"AZ",55,151303,1,152246,2
"AZ",56,146194,2,147131,1
"AZ",57,140719,1,141663,0
"AZ",58,135969,0,136906,0
"AZ",59,133496,2,134437,1
"AZ",60,130460,1,131387,0
"AZ",61,125755,2,126662,0
"AZ",62,119746,1,120636,2
"AZ",63,113229,0,114113,1
"AZ",64,107055,2,107933,3
"AZ",65,102614,1,103472,2
"AZ",66,99062,0,99907,1
"AZ",67,97491,2,98327,1
"AZ",68,92206,1,92995,2
"AZ",69,88983,1,89734,0
"AZ",70,85493,1,86199,1
"AZ",71,81937,2,82614,0
"AZ",72,79452,0,80113,0
"AZ",73,77253,1,77884,1
"AZ",74,76296,1,76921,2
"AZ",75,73465,2,74071,0
"AZ",76,71010,1,71599,1
"AZ",77,69017,2,69573,0
"AZ",78,67044,0,67577,1
"AZ",79,65731,1,66230,2
"AZ",80,64738,0,65220,0
"AZ",81,64349,1,64826,0
"AZ",82,62748,1,63153,2
"AZ",83,61991,0,62370,1
"AZ",84,53818,0,54162,0
"AZ",85,47396,0,47718,1
"AZ",86,43680,0,43976,1
"AZ",87,42513,0,42800,2
"AZ",88,42405,1,42691,0
"AZ",89,41247,0,41531,0
"AZ",90,38672,1,38960,2
"PB",1,469457,5,469454,2
"PB",2,420042,3,420069,3
"PB",3,388187,4,388227,1
"PB",4,363128,4,363186,2
"PB",5,342408,2,342480,1
"PB",6,325441,3,325530,0
"PB",7,310680,5,310793,0
"PB",8,297067,2,297197,1
"PB",9,285720,3,285860,0
"PB",10,276199,2,276346,0
"PB",11,269016,1,269172,0
"PB",12,262655,3,262820,1
"PB",13,256875,1,257051,1
"PB",14,252195,2,252382,0
"PB",15,247904,1,248096,0
"PB",16,244150,0,244342,0
"PB",17,241018,0,241216,0
"PB",18,238931,0,239127,0
"PB",19,236674,2,236879,0
"PB",20,235191,2,235405,1
"PB",21,233862,0,234081,2
"PB",22,232682,0,232908,0
"PB",23,231260,2,231489,0
"PB",24,230157,0,230395,0
"PB",25,229425,1,229664,0
"PB",26,228776,1,229022,1
"PB",27,228223,2,228480,0
"PB",28,227734,2,227994,0
"PB",29,227277,1,227539,0
"PB",30,226857,0,227128,1
"PB",31,226689,1,226961,0
"PB",32,226482,0,226761,0
"PB",33,226227,0,226509,0
"PB",34,226047,2,226329,0
"PB",35,225833,0,226123,0
"PB",36,225507,2,225794,0
"PB",37,225221,0,225509,0
"PB",38,225053,0,225347,0
"PB",39,224636,1,224933,0
"PB",40,224225,2,224526,0
"PB",41,223903,0,224205,0
"PB",42,223516,1,223821,0
"PB",43,222911,3,223219,0
"PB",44,221932,0,222244,0
"PB",45,220991,1,221308,0
"PB",46,220498,0,220810,0
"PB",47,219937,1,220248,0
"PB",48,218996,0,219309,0
"PB",49,218011,1,218325,0
"PB",50,216592,0,216908,0
"PB",51,215194,1,215505,0
"PB",52,214129,1,214440,0
"PB",53,213049,0,213359,0
"PB",54,210110,1,210415,0
"PB",55,207383,2,207682,0
"PB",56,204828,0,205122,0
"PB",57,202244,0,202527,0
"PB",58,199700,0,199967,0
"PB",59,197893,2,198157,2
"PB",60,196461,0,196717,1
"PB",61,195187,0,195437,0
"PB",62,193688,2,193935,0
"PB",63,192110,0,192351,1
"PB",64,190454,2,190683,0
"PB",65,188805,0,189030,0
"PB",66,187103,1,187321,0
"PB",67,185955,0,186168,0
"PB",68,184833,2,185042,0
"PB",69,183308,1,183507,1
"PB",70,181724,0,181915,0
"PB",71,179983,1,180160,1
"PB",72,178032,1,178192,1
"PB",73,176700,0,176849,1
"PB",74,176204,0,176347,0
"PB",75,175424,0,175553,0
"PB",76,173913,0,174039,0
"PB",77,172518,0,172640,1
"PB",78,170789,0,170906,0
"PB",79,168829,0,168938,0
"PB",80,167310,0,167420,0
"PB",81,165618,1,165727,0
"PB",82,164538,0,164639,0
"PB",83,162515,1,162609,0
"PB",84,157224,0,157312,0
"PB",85,151502,1,151587,0
"PB",86,146813,1,146898,0
"PB",87,144586,0,144661,0
"PB",88,143106,0,143179,1
"PB",89,139209,0,139281,1
"PB",90,135394,0,135473,0
