"","vacc","z.yr","pyears","event","Rate","RR_est"
"1","v1","-1+ thru  13","32735.90",97,3,NA
"2","v2","-1+ thru  13","32751.90",72,2,NA
"3","v1","13+ thru  20","11937.00",22,2,NA
"4","v2","13+ thru  20","11954.80",12,1,NA
"5","v1","20+ thru  27","10481.90",26,2,NA
"6","v2","20+ thru  27","10502.80",16,2,NA
"7","v1","27+ thru  34","9289.60",21,2,NA
"8","v2","27+ thru  34","9312.90",9,1,NA
"9","v1","34+ thru  41","8524.50",12,1,NA
"10","v2","34+ thru  41","8548.80",9,1,NA
"11","v1","41+ thru  48","7783.30",15,2,NA
"12","v2","41+ thru  48","7807.90",6,1,NA
"13","v1","48+ thru  55","7197.00",14,2,NA
"14","v2","48+ thru  55","7221.00",8,1,NA
"15","v1","55+ thru  62","6358.20",13,2,NA
"16","v2","55+ thru  62","6381.10",7,1,NA
"17","v1","62+ thru  69","5511.90",13,2,NA
"18","v2","62+ thru  69","5532.10",12,2,NA
"19","v1","69+ thru  76","4892.20",10,2,NA
"20","v2","69+ thru  76","4907.50",8,2,NA
"21","v1","76+ thru  83","4456.50",7,2,NA
"22","v2","76+ thru  83","4467.70",7,2,NA
"23","v1","83+ thru 182","12572.30",11,1,NA
"24","v2","83+ thru 182","12587.70",14,1,NA
